v1	v2	label
NP_663777.1	NP_001233.1	1
NP_055436.2	NP_001420.2	1
NP_003630.1	NP_001073594.1	1
NP_001001998.1	NP_067000.1	1
NP_001888.2	NP_001782.1	1
NP_001033.1	NP_002037.2	1
NP_003001.1	NP_006292.2	1
NP_060901.2	NP_000199.2	1
NP_001020276.1	NP_001895.1	1
NP_005973.1	NP_005068.2	1
NP_036377.1	NP_005602.2	1
NP_001702.1	NP_000079.2	1
NP_003334.2	NP_000453.2	1
NP_000124.1	NP_000123.1	1
NP_003712.1	NP_000529.1	1
NP_003391.1	NP_006485.1	1
NP_002801.1	NP_038466.2	1
NP_542166.1	Q92900	1
NP_005493.2	NP_937879.1	1
NP_004214.1	NP_004553.1	1
NP_061828.1	NP_004055.1	1
NP_001737.1	NP_009108.1	1
NP_057661.3	NP_004603.1	1
NP_002816.1	NP_715638.1	1
NP_000917.3	NP_056986.2	1
AAF91084.1	NP_003591.2	1
AAH07560.1	NP_005150.1	1
NP_056318.1	NP_002077.1	1
NP_038466.2	NP_000741.1	1
NP_004679.1	NP_005524.1	1
NP_055191.2	NP_003922.1	1
NP_001033.1	NP_001077362.1	1
NP_008830.2	NP_002964.2	1
NP_150634.1	NP_003211.1	1
NP_647593.1	NP_009297.2	1
NP_057065.2	NP_000215.1	1
NP_003945.2	NP_000960.2	1
NP_036413.1	AAQ86961.1	1
NP_006316.1	NP_001020272.1	1
NP_002743.3	NP_065853.2	1
NP_000210.2	NP_000229.1	1
NP_001757.1	CAA45056.1	1
NP_002960.2	NP_002077.1	1
NP_002537.3	NP_000629.3	1
NP_001296.1	NP_003248.3	1
NP_061120.2	NP_114034.1	1
NP_058633.2	NP_000537.3	1
NP_001246.2	NP_001202.4	1
NP_001900.1	NP_954642.1	1
NP_004916.1	NP_002654.2	1
NP_003450.2	NP_001275.1	1
NP_892017.2	NP_002190.1	1
NP_001092.1	NP_060649.3	1
NP_003617.1	NP_002831.2	1
NP_000336.1	NP_005900.1	1
NP_056477.1	NP_203129.1	1
NP_001090.2	NP_004439.2	1
NP_004105.1	NP_055006.1	1
NP_006249.1	NP_002914.1	1
NP_057542.2	NP_060116.2	1
NP_004594.1	NP_006169.1	1
NP_005602.2	NP_002625.1	1
NP_116764.2	NP_932070.1	1
NP_004228.1	NP_001078837.1	1
NP_036437.1	NP_001274.1	1
NP_588612.1	AAH28049.1	1
NP_005391.1	NP_542437.2	1
NP_009298.1	NP_058431.2	1
NP_006353.2	NP_003601.1	1
NP_001020276.1	NP_000537.3	1
NP_002341.1	NP_000213.1	1
NP_003870.3	NP_002871.1	1
NP_056097.1	NP_036457.1	1
NP_115822.1	NP_006268.1	1
NP_005334.1	AAA59925.1	1
NP_000681.2	NP_060942.2	1
NP_008848.1	NP_612370.3	1
NP_005612.1	NP_001127.1	1
NP_005513.1	NP_003293.2	1
NP_003759.1	NP_060686.1	1
NP_015561.1	NP_001041659.1	1
NP_000052.1	NP_002728.1	1
NP_005609.3	NP_036433.2	1
NP_006564.1	NP_001183.2	1
NP_073576.1	AAH13362.1	1
NP_000827.1	NP_002730.1	1
NP_058521.1	NP_058633.2	1
NP_003118.1	NP_005697.2	1
NP_003122.1	NP_073207.1	1
NP_004955.2	NP_612482.2	1
NP_000211.1	NP_004776.3	1
NP_036229.1	NP_002257.1	1
NP_002768.3	NP_068810.2	1
NP_005251.1	NP_057137.1	1
NP_000204.3	NP_899236.1	1
NP_001547.1	NP_001073594.1	1
NP_002728.1	NP_000825.1	1
NP_005347.3	NP_644805.1	1
NP_001003811.1	NP_061938.2	1
NP_892113.3	NP_000116.2	1
NP_004746.2	NP_004947.2	1
NP_006473.1	NP_036547.1	1
NP_006739.1	NP_005179.2	1
NP_001460.1	NP_055435.2	1
NP_003336.1	NP_003191.1	1
NP_000456.1	NP_000242.1	1
NP_001666.2	NP_004119.1	1
NP_001639.1	NP_000005.2	1
NP_000323.2	NP_056077.1	1
NP_002222.1	NP_061984.2	1
NP_997006.1	NP_005198.1	1
NP_733779.1	NP_060908.1	1
NP_115528.3	NP_002348.1	1
NP_003185.1	NP_005504.2	1
CAA64246.1	NP_000923.1	1
NP_002653.1	NP_001092.1	1
NP_056036.1	NP_995314.1	1
NP_064543.3	NP_653294.1	1
NP_002650.1	NP_059973.2	1
NP_005824.2	NP_004242.1	1
NP_002718.2	NP_003012.1	1
NP_060277.1	NP_055174.1	1
NP_006766.1	NP_001008712.1	1
NP_001026855.2	NP_060441.2	1
Q92900	NP_115887.1	1
NP_002505.1	AAA52539.1	1
NP_000236.2	NP_644805.1	1
NP_061874.3	NP_112420.1	1
NP_000108.1	NP_149076.1	1
NP_003874.2	NP_002219.1	1
NP_006414.1	NP_037438.2	1
CAA89989.1	NP_612482.2	1
NP_005698.1	NP_060362.3	1
NP_000675.1	NP_004032.2	1
NP_066961.2	NP_085050.2	1
NP_077720.1	NP_003986.2	1
NP_006191.2	NP_002665.2	1
NP_006563.2	NP_005217.2	1
NP_002253.1	NP_031359.2	1
NP_005045.2	NP_006316.1	1
NP_201585.1	NP_001605.1	1
NP_003946.3	NP_000112.1	1
NP_003452.1	NP_001093.1	1
NP_000220.1	NP_000030.1	1
NP_001744.2	NP_000116.2	1
NP_005089.2	NP_996919.1	1
NP_001722.1	NP_003241.2	1
NP_001015053.1	NP_620309.1	1
NP_003177.2	NP_001091.1	1
NP_005202.2	NP_000748.3	1
NP_002458.2	NP_612482.2	1
NP_596869.3	NP_002464.1	1
NP_150241.2	NP_001518.2	1
NP_006816.2	NP_115580.2	1
NP_003734.3	NP_068556.1	1
NP_378663.1	NP_001895.1	1
NP_057126.2	NP_061910.1	1
NP_005169.1	NP_003874.2	1
NP_003237.2	NP_000063.2	1
NP_001921.1	NP_001961.1	1
NP_001887.1	NP_006635.2	1
NP_002201.1	NP_001034221.1	1
NP_001002760.1	NP_000453.2	1
NP_003121.1	NP_005822.1	1
NP_002982.2	NP_001828.1	1
NP_005577.1	NP_056207.2	1
NP_068799.2	NP_000537.3	1
